"행정구역","2025년04월_남_총인구수","2025년04월_남_연령구간인구수","2025년04월_남_0세","2025년04월_남_1세","2025년04월_남_2세","2025년04월_남_3세","2025년04월_남_4세","2025년04월_남_5세","2025년04월_남_6세","2025년04월_남_7세","2025년04월_남_8세","2025년04월_남_9세","2025년04월_남_10세","2025년04월_남_11세","2025년04월_남_12세","2025년04월_남_13세","2025년04월_남_14세","2025년04월_남_15세","2025년04월_남_16세","2025년04월_남_17세","2025년04월_남_18세","2025년04월_남_19세","2025년04월_남_20세","2025년04월_남_21세","2025년04월_남_22세","2025년04월_남_23세","2025년04월_남_24세","2025년04월_남_25세","2025년04월_남_26세","2025년04월_남_27세","2025년04월_남_28세","2025년04월_남_29세","2025년04월_남_30세","2025년04월_남_31세","2025년04월_남_32세","2025년04월_남_33세","2025년04월_남_34세","2025년04월_남_35세","2025년04월_남_36세","2025년04월_남_37세","2025년04월_남_38세","2025년04월_남_39세","2025년04월_남_40세","2025년04월_남_41세","2025년04월_남_42세","2025년04월_남_43세","2025년04월_남_44세","2025년04월_남_45세","2025년04월_남_46세","2025년04월_남_47세","2025년04월_남_48세","2025년04월_남_49세","2025년04월_남_50세","2025년04월_남_51세","2025년04월_남_52세","2025년04월_남_53세","2025년04월_남_54세","2025년04월_남_55세","2025년04월_남_56세","2025년04월_남_57세","2025년04월_남_58세","2025년04월_남_59세","2025년04월_남_60세","2025년04월_남_61세","2025년04월_남_62세","2025년04월_남_63세","2025년04월_남_64세","2025년04월_남_65세","2025년04월_남_66세","2025년04월_남_67세","2025년04월_남_68세","2025년04월_남_69세","2025년04월_남_70세","2025년04월_남_71세","2025년04월_남_72세","2025년04월_남_73세","2025년04월_남_74세","2025년04월_남_75세","2025년04월_남_76세","2025년04월_남_77세","2025년04월_남_78세","2025년04월_남_79세","2025년04월_남_80세","2025년04월_남_81세","2025년04월_남_82세","2025년04월_남_83세","2025년04월_남_84세","2025년04월_남_85세","2025년04월_남_86세","2025년04월_남_87세","2025년04월_남_88세","2025년04월_남_89세","2025년04월_남_90세","2025년04월_남_91세","2025년04월_남_92세","2025년04월_남_93세","2025년04월_남_94세","2025년04월_남_95세","2025년04월_남_96세","2025년04월_남_97세","2025년04월_남_98세","2025년04월_남_99세","2025년04월_남_100세 이상","2025년04월_여_총인구수","2025년04월_여_연령구간인구수","2025년04월_여_0세","2025년04월_여_1세","2025년04월_여_2세","2025년04월_여_3세","2025년04월_여_4세","2025년04월_여_5세","2025년04월_여_6세","2025년04월_여_7세","2025년04월_여_8세","2025년04월_여_9세","2025년04월_여_10세","2025년04월_여_11세","2025년04월_여_12세","2025년04월_여_13세","2025년04월_여_14세","2025년04월_여_15세","2025년04월_여_16세","2025년04월_여_17세","2025년04월_여_18세","2025년04월_여_19세","2025년04월_여_20세","2025년04월_여_21세","2025년04월_여_22세","2025년04월_여_23세","2025년04월_여_24세","2025년04월_여_25세","2025년04월_여_26세","2025년04월_여_27세","2025년04월_여_28세","2025년04월_여_29세","2025년04월_여_30세","2025년04월_여_31세","2025년04월_여_32세","2025년04월_여_33세","2025년04월_여_34세","2025년04월_여_35세","2025년04월_여_36세","2025년04월_여_37세","2025년04월_여_38세","2025년04월_여_39세","2025년04월_여_40세","2025년04월_여_41세","2025년04월_여_42세","2025년04월_여_43세","2025년04월_여_44세","2025년04월_여_45세","2025년04월_여_46세","2025년04월_여_47세","2025년04월_여_48세","2025년04월_여_49세","2025년04월_여_50세","2025년04월_여_51세","2025년04월_여_52세","2025년04월_여_53세","2025년04월_여_54세","2025년04월_여_55세","2025년04월_여_56세","2025년04월_여_57세","2025년04월_여_58세","2025년04월_여_59세","2025년04월_여_60세","2025년04월_여_61세","2025년04월_여_62세","2025년04월_여_63세","2025년04월_여_64세","2025년04월_여_65세","2025년04월_여_66세","2025년04월_여_67세","2025년04월_여_68세","2025년04월_여_69세","2025년04월_여_70세","2025년04월_여_71세","2025년04월_여_72세","2025년04월_여_73세","2025년04월_여_74세","2025년04월_여_75세","2025년04월_여_76세","2025년04월_여_77세","2025년04월_여_78세","2025년04월_여_79세","2025년04월_여_80세","2025년04월_여_81세","2025년04월_여_82세","2025년04월_여_83세","2025년04월_여_84세","2025년04월_여_85세","2025년04월_여_86세","2025년04월_여_87세","2025년04월_여_88세","2025년04월_여_89세","2025년04월_여_90세","2025년04월_여_91세","2025년04월_여_92세","2025년04월_여_93세","2025년04월_여_94세","2025년04월_여_95세","2025년04월_여_96세","2025년04월_여_97세","2025년04월_여_98세","2025년04월_여_99세","2025년04월_여_100세 이상"
"전국  (0000000000)","25,474,633","25,474,633","123,429","118,391","127,009","134,847","141,215","152,864","167,338","181,780","202,618","223,653","227,592","224,833","244,746","244,560","248,873","231,237","236,963","254,784","236,081","225,746","234,225","251,824","252,543","274,924","319,370","326,147","326,154","341,731","350,627","368,610","373,391","373,708","381,671","371,685","339,245","334,806","325,678","315,421","318,394","331,665","329,058","366,053","401,387","426,232","422,774","422,682","378,530","382,606","376,433","391,565","414,313","444,395","447,962","462,579","462,996","447,554","462,555","414,800","411,425","416,467","411,708","370,413","439,056","410,963","448,477","411,682","374,361","357,564","328,208","308,907","311,918","236,070","243,358","208,189","180,426","189,923","180,033","175,029","161,440","110,347","116,750","106,528","123,631","107,238","79,723","71,731","61,962","49,212","41,234","32,532","25,065","17,670","12,805","9,017","5,745","4,366","3,243","1,957","1,214","649","1,545","25,701,092","25,701,092","117,458","112,819","121,008","128,976","134,429","145,360","158,577","171,972","192,563","213,613","216,867","214,331","232,943","231,812","235,761","217,735","223,673","240,788","222,616","211,359","220,005","234,212","233,863","254,655","294,964","300,333","299,818","318,998","322,760","332,709","329,911","331,917","341,819","337,933","310,542","302,526","300,341","297,121","302,044","312,697","312,894","351,147","386,531","411,871","406,021","409,197","367,513","374,713","360,295","383,827","401,983","438,886","436,245","445,369","451,159","440,439","461,085","420,261","401,666","410,525","411,612","367,037","431,666","415,934","467,513","433,580","390,817","371,356","348,604","335,927","341,089","263,563","275,227","237,606","210,233","223,972","216,018","214,916","202,847","142,768","161,446","158,845","184,384","170,811","135,738","130,640","119,080","101,346","91,515","79,385","66,309","51,319","40,225","31,598","22,927","18,114","13,399","9,265","6,137","3,608","7,261"
"서울특별시  (1100000000)","4,501,804","4,501,804","20,891","19,230","19,859","21,439","21,908","23,656","25,677","27,071","30,293","33,430","34,160","34,047","37,305","36,958","37,926","35,420","36,651","40,194","38,288","38,016","40,231","43,796","45,541","50,985","61,867","65,422","68,718","73,509","76,606","81,010","82,419","82,115","83,452","80,229","72,395","69,243","66,835","62,810","62,082","62,961","61,345","67,675","70,435","74,482","73,363","72,612","64,571","64,475","64,768","66,008","70,543","74,381","76,230","79,291","78,927","75,871","75,555","67,373","65,384","66,172","66,009","60,424","69,220","64,715","69,933","66,370","61,565","59,929","54,482","53,240","53,924","42,152","43,514","35,923","32,556","34,489","32,608","32,391","30,800","21,389","22,244","20,483","23,143","20,559","14,954","12,984","11,154","8,865","7,175","5,764","4,291","3,050","2,243","1,563","1,027","808","664","388","246","118","342","4,830,056","4,830,056","20,055","18,122","19,306","20,165","20,904","21,892","23,673","25,984","29,126","32,218","32,777","31,826","35,549","34,962","35,919","33,620","35,138","37,787","37,418","38,676","44,386","49,462","51,860","59,405","72,434","76,193","78,184","84,046","84,590","85,562","83,583","82,033","82,343","79,981","71,383","67,416","66,559","63,287","63,318","63,491","62,268","67,736","72,249","75,348","74,140","75,078","67,036","67,590","66,131","68,471","71,675","77,665","78,461","80,511","81,177","77,514","78,709","71,876","66,893","68,970","70,124","64,239","72,423","70,032","79,474","75,667","69,747","67,397","63,886","62,142","63,694","50,121","51,489","42,926","38,891","42,571","40,395","40,813","39,017","27,893","28,826","27,800","30,555","27,826","21,522","19,902","18,117","15,019","13,401","11,265","9,327","7,291","5,575","4,523","3,297","2,672","1,990","1,412","980","527","1,157"
"부산광역시  (2600000000)","1,584,035","1,584,035","6,787","6,480","7,148","7,696","8,004","8,672","9,507","10,979","11,894","13,599","13,620","13,303","14,281","14,144","14,143","12,910","12,963","13,988","12,972","12,647","13,195","15,035","15,693","17,059","19,922","19,632","18,782","19,218","20,069","20,715","21,195","21,310","22,080","21,597","19,692","19,939","18,833","18,144","18,391","19,214","19,334","21,933","24,035","26,130","26,331","26,482","23,190","23,274","21,979","23,204","24,625","26,264","26,565","27,368","27,335","26,937","27,731","25,357","24,790","25,254","24,574","23,236","28,385","26,975","30,030","27,854","26,212","25,681","24,786","23,288","24,178","18,462","18,995","16,907","14,651","15,139","14,436","13,508","12,406","8,157","9,457","8,357","9,307","7,593","5,925","5,123","4,286","3,206","2,682","1,944","1,465","1,087","668","514","314","244","188","92","60","33","60","1,672,373","1,672,373","6,374","6,243","6,700","7,372","7,433","8,315","9,335","10,106","11,571","12,863","13,065","12,546","13,507","13,608","13,549","12,110","12,272","13,373","12,388","12,379","13,531","14,777","14,912","16,136","18,338","18,300","17,748","19,182","19,356","19,467","19,568","19,791","20,399","19,993","18,230","18,126","17,885","17,622","17,657","18,257","18,780","21,247","23,574","25,504","25,622","26,056","22,754","22,503","21,351","23,158","24,597","26,717","26,883","27,617","28,348","27,868","29,462","27,528","26,438","27,213","26,968","25,072","30,943","30,323","34,678","32,445","29,992","28,936","28,090","27,950","27,541","21,513","22,939","20,377","17,667","18,748","18,453","17,430","15,718","10,489","12,790","11,646","13,365","11,933","9,759","8,927","7,780","6,303","5,664","4,822","4,016","2,938","2,231","1,872","1,181","954","793","585","327","231","380"
"대구광역시  (2700000000)","1,156,613","1,156,613","5,310","5,090","5,464","5,971","6,237","7,101","7,741","8,556","9,667","10,502","10,634","10,334","11,245","11,215","11,407","10,376","10,823","11,644","10,836","10,644","10,910","12,344","12,179","13,028","14,964","14,923","14,255","14,610","14,792","15,527","15,727","15,850","16,468","16,512","14,869","15,211","14,326","13,720","14,063","14,545","13,978","15,554","16,940","18,184","18,442","18,346","16,535","16,710","17,236","17,543","18,840","19,963","20,509","21,043","21,006","20,859","21,747","20,287","19,492","19,460","19,292","17,528","20,656","19,590","20,494","19,178","17,106","16,127","15,557","14,120","14,125","10,996","11,828","10,559","8,632","9,195","8,923","8,215","7,007","4,603","5,176","5,198","6,094","4,972","3,667","3,320","2,819","2,293","1,940","1,474","1,204","743","597","431","222","151","117","72","40","17","41","1,202,546","1,202,546","5,125","4,820","5,155","5,666","5,808","6,654","7,328","8,195","9,140","9,955","10,217","9,949","10,819","10,689","10,840","9,743","10,005","11,139","10,172","9,880","10,242","11,204","11,015","11,679","13,228","13,253","12,369","13,545","13,855","14,409","13,765","13,993","14,334","14,078","12,910","12,925","12,133","12,180","12,603","13,000","13,064","15,291","17,440","18,567","18,760","18,807","16,764","17,221","17,226","18,232","19,370","21,130","21,357","21,973","21,941","22,154","22,789","21,471","20,181","20,758","20,644","18,541","21,997","20,693","22,804","21,622","18,776","17,456","17,151","16,789","16,389","13,065","14,980","13,005","10,755","11,252","11,738","10,956","9,596","6,123","7,708","8,362","9,116","8,152","6,767","6,297","5,442","4,779","4,120","3,576","2,949","2,190","1,709","1,383","974","695","520","359","229","134","238"
"인천광역시  (2800000000)","1,515,919","1,515,919","8,315","7,715","8,237","8,563","9,028","9,777","10,573","11,078","12,287","13,379","13,705","13,364","14,531","14,732","14,850","13,561","13,840","14,891","13,980","13,203","13,436","14,707","14,494","15,829","18,299","19,127","19,285","20,502","21,292","22,284","22,959","23,691","24,446","24,354","22,046","21,540","21,236","20,069","20,497","21,403","21,232","23,271","25,536","27,213","26,649","26,793","23,566","23,629","22,783","23,674","25,173","26,171","26,672","27,168","27,155","26,099","26,849","24,047","24,014","24,709","25,065","22,645","26,815","24,912","26,756","24,469","22,063","20,519","18,402","17,003","16,887","12,426","12,864","10,497","8,896","9,789","9,080","8,866","8,202","5,615","5,644","5,268","5,748","4,891","3,588","3,233","2,896","2,218","1,819","1,490","1,088","820","574","385","292","206","184","96","71","31","98","1,517,925","1,517,925","7,814","7,341","7,914","8,405","8,500","9,149","10,043","10,319","11,681","12,964","13,061","12,856","13,794","13,802","14,055","12,928","13,229","14,281","13,160","12,439","12,553","13,659","13,580","15,208","17,534","17,800","18,034","19,422","19,568","20,454","20,848","21,228","22,036","22,223","20,193","19,757","19,369","18,950","19,014","19,783","19,476","21,997","23,998","25,589","25,080","25,007","22,128","22,762","21,365","22,589","23,942","26,009","26,147","26,447","26,914","26,325","27,961","25,475","24,455","25,263","25,924","22,930","26,712","25,173","27,386","25,197","22,703","21,473","19,355","18,368","18,414","14,000","14,087","11,459","10,160","11,070","10,616","10,669","10,511","7,367","7,521","7,594","8,770","7,996","6,317","6,018","5,697","4,832","4,324","3,826","3,160","2,461","2,066","1,587","1,190","931","730","480","342","205","427"
"광주광역시  (2900000000)","691,334","691,334","3,073","3,148","3,650","3,962","4,146","4,447","5,047","5,558","6,105","6,797","6,943","6,946","7,693","7,555","7,736","7,314","7,439","8,179","7,532","7,168","7,459","8,271","8,177","8,904","10,012","9,998","9,584","9,985","9,922","10,293","10,246","10,189","10,098","9,712","8,634","8,558","7,950","7,970","8,056","8,632","8,684","10,064","11,291","11,840","11,311","11,790","10,500","10,663","11,129","11,009","11,795","12,633","12,634","12,756","12,699","11,975","12,684","11,174","10,947","11,161","10,145","9,591","10,665","9,523","10,693","9,814","8,581","8,222","7,222","6,936","6,978","5,111","5,165","4,969","4,577","4,647","4,369","4,243","4,104","2,927","2,928","2,406","3,152","2,721","1,904","1,735","1,387","1,198","955","742","572","401","269","229","122","120","67","51","29","15","22","709,493","709,493","3,045","3,057","3,422","3,836","4,004","4,496","4,737","5,181","5,886","6,489","6,518","6,674","7,113","7,120","7,447","6,802","7,103","7,474","7,025","6,718","7,100","7,575","7,599","7,969","8,987","8,891","8,867","9,201","9,180","9,554","9,203","9,095","9,008","8,765","7,987","7,599","7,607","7,642","7,885","8,372","8,471","9,789","11,030","11,867","11,491","11,944","10,831","11,119","11,048","11,070","11,894","12,904","12,775","13,026","12,790","12,221","12,898","11,609","11,126","11,600","10,568","9,839","11,023","10,162","11,706","10,965","9,979","9,184","8,146","7,703","8,059","6,307","6,480","5,946","5,726","6,042","5,504","5,728","5,373","3,858","4,094","3,592","4,426","4,134","3,262","3,014","2,619","2,365","2,025","1,727","1,504","1,185","910","698","537","484","303","190","140","86","164"
"대전광역시  (3000000000)","717,423","717,423","3,744","3,740","4,012","4,023","4,099","4,213","4,775","5,245","5,788","6,425","6,618","6,498","6,925","7,129","7,216","6,677","7,083","7,582","7,169","7,033","7,261","8,217","8,595","9,598","10,624","10,788","10,675","11,090","11,214","11,706","11,612","11,302","11,460","10,919","10,110","9,913","9,485","9,194","8,957","9,222","8,997","9,757","10,822","11,313","11,406","11,257","10,332","10,621","10,294","10,942","11,472","12,662","12,385","12,979","12,960","12,509","13,048","11,465","11,180","10,695","10,918","9,333","11,270","10,978","11,785","10,748","9,387","9,253","8,667","8,014","8,204","5,989","6,084","5,418","4,570","4,919","4,513","4,248","3,913","2,793","2,818","2,657","3,019","2,692","1,816","1,787","1,503","1,231","1,002","766","619","469","334","212","144","102","90","50","29","9","38","721,970","721,970","3,564","3,399","3,787","3,714","3,819","4,152","4,551","4,799","5,586","6,072","6,108","6,225","6,693","6,605","6,737","6,388","6,414","7,064","6,927","7,015","7,446","8,178","7,921","8,470","9,660","9,625","9,619","10,023","10,224","10,165","9,964","9,746","10,023","9,692","8,974","8,310","8,172","8,206","8,215","8,615","8,483","9,481","10,564","11,503","11,266","11,177","10,562","10,827","10,462","11,198","11,467","12,872","12,652","12,582","12,824","12,370","13,609","11,690","10,956","10,784","11,458","9,481","11,461","11,293","12,906","11,724","10,212","9,844","9,175","9,136","9,238","6,858","6,818","6,088","5,444","5,664","5,666","5,055","4,899","3,442","3,917","3,931","4,375","4,143","3,060","2,997","2,795","2,372","2,101","1,833","1,586","1,205","903","749","555","459","302","227","139","86","177"
"울산광역시  (3100000000)","563,471","563,471","2,678","2,487","2,734","3,015","3,125","3,506","3,891","4,381","4,967","5,535","5,593","5,566","5,853","5,923","6,007","5,624","5,684","6,017","5,447","4,986","5,278","5,380","5,116","5,659","6,612","7,181","7,092","7,568","7,995","8,157","8,065","7,943","8,101","7,771","7,249","7,412","7,186","6,858","7,001","7,279","7,244","8,058","8,978","9,775","9,816","9,991","8,783","8,948","8,430","8,513","9,128","9,511","9,742","10,235","10,175","10,252","10,784","10,102","10,242","10,699","10,272","8,887","10,571","9,765","10,453","9,234","8,461","7,765","7,132","6,567","6,524","5,044","4,987","4,214","3,752","3,605","3,445","3,169","2,617","1,700","1,898","1,638","1,930","1,439","1,085","947","804","555","457","314","291","215","136","93","62","41","32","14","11","6","11","530,989","530,989","2,588","2,433","2,544","2,858","3,120","3,448","3,675","4,012","4,715","5,180","5,243","5,280","5,616","5,530","5,523","5,032","5,262","5,637","4,872","4,278","3,915","4,003","3,909","4,365","5,022","5,049","5,060","5,629","5,641","6,136","6,014","5,998","6,359","6,490","6,064","6,017","5,887","5,892","6,120","6,463","6,523","7,657","8,551","9,229","9,104","9,092","8,173","8,250","7,585","8,427","8,840","9,910","9,629","10,199","10,303","10,500","11,062","10,319","9,751","10,038","9,604","8,378","9,846","9,232","10,526","9,237","8,335","7,848","7,317","6,911","6,671","5,255","5,361","4,506","3,891","3,799","3,714","3,471","3,020","1,928","2,538","2,335","2,800","2,276","1,816","1,824","1,536","1,355","1,200","1,002","871","687","529","397","262","212","150","108","91","51","78"
"세종특별자치시  (3600000000)","195,101","195,101","1,433","1,367","1,586","1,831","1,849","2,094","2,294","2,480","2,701","2,977","2,974","2,834","3,056","2,931","2,968","2,654","2,526","2,585","2,294","2,015","1,983","1,898","1,724","1,685","1,856","1,841","1,771","1,833","1,939","2,218","2,407","2,593","2,855","2,884","2,845","2,968","3,007","3,020","3,152","3,237","3,330","3,539","3,945","4,318","4,135","4,219","3,676","3,681","3,447","3,521","3,650","3,682","3,458","3,544","3,238","2,956","2,854","2,452","2,276","2,097","2,352","1,894","2,237","2,096","2,323","1,995","1,820","1,690","1,537","1,571","1,539","1,095","1,110","928","831","869","800","672","625","453","449","416","486","416","309","282","242","184","170","150","120","87","37","37","31","18","19","11","8","5","4","196,891","196,891","1,442","1,346","1,578","1,740","1,880","1,918","2,212","2,448","2,554","2,864","2,749","2,742","2,867","2,832","2,806","2,639","2,710","2,665","2,243","1,935","1,757","1,712","1,577","1,584","1,638","1,750","1,853","1,900","2,059","2,327","2,435","2,604","2,856","3,047","2,992","2,974","3,039","3,071","3,253","3,283","3,398","3,866","4,314","4,561","4,360","4,293","3,882","3,679","3,447","3,525","3,336","3,407","3,089","3,019","2,956","2,593","2,692","2,339","2,184","2,096","2,197","1,843","2,156","2,148","2,297","2,117","1,875","1,775","1,667","1,553","1,573","1,186","1,140","1,005","866","952","851","796","775","506","627","608","713","649","525","552","474","432","380","335","353","257","221","147","119","83","84","54","32","16","35"
"경기도  (4100000000)","6,884,608","6,884,608","37,424","36,323","39,416","41,032","42,902","45,549","49,898","53,540","59,566","65,435","66,395","64,577","70,470","69,727","70,967","65,722","67,033","71,816","66,245","62,283","64,150","68,363","68,183","73,880","87,424","90,058","90,782","95,564","97,228","103,321","105,315","106,018","109,016","107,704","97,783","96,581","94,995","92,654","93,152","97,098","96,385","106,569","117,359","124,106","122,468","121,617","108,016","108,783","106,797","111,096","115,171","123,622","123,470","127,531","126,837","120,901","123,703","108,596","108,452","109,294","109,113","97,209","111,775","104,226","111,739","101,279","92,215","85,919","76,367","71,493","71,222","53,576","54,979","43,597","37,630","40,160","37,831","37,772","35,467","25,028","25,284","23,048","26,181","22,954","17,434","15,390","13,402","10,813","9,132","7,117","5,599","3,897","2,904","2,043","1,390","997","733","460","279","167","425","6,818,148","6,818,148","35,714","34,447","37,183","39,538","40,890","43,880","47,261","50,880","56,627","62,880","63,465","62,362","67,449","66,696","68,031","62,648","64,309","68,643","63,161","58,364","60,011","62,910","62,801","69,106","81,128","82,594","82,055","86,043","86,680","90,620","91,175","92,923","96,398","96,890","90,381","88,043","88,131","86,855","87,666","91,930","91,074","101,090","110,828","118,877","116,608","117,123","104,787","106,427","102,201","107,895","112,456","122,038","120,756","123,333","124,443","119,795","124,280","111,916","106,293","107,000","107,663","94,328","108,303","103,770","112,903","102,722","93,085","87,030","79,718","75,592","76,546","58,239","60,742","48,781","43,616","46,836","45,109","45,942","44,493","31,925","34,471","33,784","37,317","34,998","28,313","26,633","24,408","21,060","18,946","16,490","13,485","10,655","8,394","6,375","4,884","3,836","2,966","2,072","1,351","810","1,569"
