"행정구역","2025년04월_계_총인구수","2025년04월_계_연령구간인구수","2025년04월_계_0세","2025년04월_계_1세","2025년04월_계_2세","2025년04월_계_3세","2025년04월_계_4세","2025년04월_계_5세","2025년04월_계_6세","2025년04월_계_7세","2025년04월_계_8세","2025년04월_계_9세","2025년04월_계_10세","2025년04월_계_11세","2025년04월_계_12세","2025년04월_계_13세","2025년04월_계_14세","2025년04월_계_15세","2025년04월_계_16세","2025년04월_계_17세","2025년04월_계_18세","2025년04월_계_19세","2025년04월_계_20세","2025년04월_계_21세","2025년04월_계_22세","2025년04월_계_23세","2025년04월_계_24세","2025년04월_계_25세","2025년04월_계_26세","2025년04월_계_27세","2025년04월_계_28세","2025년04월_계_29세","2025년04월_계_30세","2025년04월_계_31세","2025년04월_계_32세","2025년04월_계_33세","2025년04월_계_34세","2025년04월_계_35세","2025년04월_계_36세","2025년04월_계_37세","2025년04월_계_38세","2025년04월_계_39세","2025년04월_계_40세","2025년04월_계_41세","2025년04월_계_42세","2025년04월_계_43세","2025년04월_계_44세","2025년04월_계_45세","2025년04월_계_46세","2025년04월_계_47세","2025년04월_계_48세","2025년04월_계_49세","2025년04월_계_50세","2025년04월_계_51세","2025년04월_계_52세","2025년04월_계_53세","2025년04월_계_54세","2025년04월_계_55세","2025년04월_계_56세","2025년04월_계_57세","2025년04월_계_58세","2025년04월_계_59세","2025년04월_계_60세","2025년04월_계_61세","2025년04월_계_62세","2025년04월_계_63세","2025년04월_계_64세","2025년04월_계_65세","2025년04월_계_66세","2025년04월_계_67세","2025년04월_계_68세","2025년04월_계_69세","2025년04월_계_70세","2025년04월_계_71세","2025년04월_계_72세","2025년04월_계_73세","2025년04월_계_74세","2025년04월_계_75세","2025년04월_계_76세","2025년04월_계_77세","2025년04월_계_78세","2025년04월_계_79세","2025년04월_계_80세","2025년04월_계_81세","2025년04월_계_82세","2025년04월_계_83세","2025년04월_계_84세","2025년04월_계_85세","2025년04월_계_86세","2025년04월_계_87세","2025년04월_계_88세","2025년04월_계_89세","2025년04월_계_90세","2025년04월_계_91세","2025년04월_계_92세","2025년04월_계_93세","2025년04월_계_94세","2025년04월_계_95세","2025년04월_계_96세","2025년04월_계_97세","2025년04월_계_98세","2025년04월_계_99세","2025년04월_계_100세 이상"
"전국  (0000000000)","51,175,725","51,175,725","240,887","231,210","248,017","263,823","275,644","298,224","325,915","353,752","395,181","437,266","444,459","439,164","477,689","476,372","484,634","448,972","460,636","495,572","458,697","437,105","454,230","486,036","486,406","529,579","614,334","626,480","625,972","660,729","673,387","701,319","703,302","705,625","723,490","709,618","649,787","637,332","626,019","612,542","620,438","644,362","641,952","717,200","787,918","838,103","828,795","831,879","746,043","757,319","736,728","775,392","816,296","883,281","884,207","907,948","914,155","887,993","923,640","835,061","813,091","826,992","823,320","737,450","870,722","826,897","915,990","845,262","765,178","728,920","676,812","644,834","653,007","499,633","518,585","445,795","390,659","413,895","396,051","389,945","364,287","253,115","278,196","265,373","308,015","278,049","215,461","202,371","181,042","150,558","132,749","111,917","91,374","68,989","53,030","40,615","28,672","22,480","16,642","11,222","7,351","4,257","8,806"
"서울특별시  (1100000000)","9,331,860","9,331,860","40,946","37,352","39,165","41,604","42,812","45,548","49,350","53,055","59,419","65,648","66,937","65,873","72,854","71,920","73,845","69,040","71,789","77,981","75,706","76,692","84,617","93,258","97,401","110,390","134,301","141,615","146,902","157,555","161,196","166,572","166,002","164,148","165,795","160,210","143,778","136,659","133,394","126,097","125,400","126,452","123,613","135,411","142,684","149,830","147,503","147,690","131,607","132,065","130,899","134,479","142,218","152,046","154,691","159,802","160,104","153,385","154,264","139,249","132,277","135,142","136,133","124,663","141,643","134,747","149,407","142,037","131,312","127,326","118,368","115,382","117,618","92,273","95,003","78,849","71,447","77,060","73,003","73,204","69,817","49,282","51,070","48,283","53,698","48,385","36,476","32,886","29,271","23,884","20,576","17,029","13,618","10,341","7,818","6,086","4,324","3,480","2,654","1,800","1,226","645","1,499"
"부산광역시  (2600000000)","3,256,408","3,256,408","13,161","12,723","13,848","15,068","15,437","16,987","18,842","21,085","23,465","26,462","26,685","25,849","27,788","27,752","27,692","25,020","25,235","27,361","25,360","25,026","26,726","29,812","30,605","33,195","38,260","37,932","36,530","38,400","39,425","40,182","40,763","41,101","42,479","41,590","37,922","38,065","36,718","35,766","36,048","37,471","38,114","43,180","47,609","51,634","51,953","52,538","45,944","45,777","43,330","46,362","49,222","52,981","53,448","54,985","55,683","54,805","57,193","52,885","51,228","52,467","51,542","48,308","59,328","57,298","64,708","60,299","56,204","54,617","52,876","51,238","51,719","39,975","41,934","37,284","32,318","33,887","32,889","30,938","28,124","18,646","22,247","20,003","22,672","19,526","15,684","14,050","12,066","9,509","8,346","6,766","5,481","4,025","2,899","2,386","1,495","1,198","981","677","387","264","440"
"대구광역시  (2700000000)","2,359,159","2,359,159","10,435","9,910","10,619","11,637","12,045","13,755","15,069","16,751","18,807","20,457","20,851","20,283","22,064","21,904","22,247","20,119","20,828","22,783","21,008","20,524","21,152","23,548","23,194","24,707","28,192","28,176","26,624","28,155","28,647","29,936","29,492","29,843","30,802","30,590","27,779","28,136","26,459","25,900","26,666","27,545","27,042","30,845","34,380","36,751","37,202","37,153","33,299","33,931","34,462","35,775","38,210","41,093","41,866","43,016","42,947","43,013","44,536","41,758","39,673","40,218","39,936","36,069","42,653","40,283","43,298","40,800","35,882","33,583","32,708","30,909","30,514","24,061","26,808","23,564","19,387","20,447","20,661","19,171","16,603","10,726","12,884","13,560","15,210","13,124","10,434","9,617","8,261","7,072","6,060","5,050","4,153","2,933","2,306","1,814","1,196","846","637","431","269","151","279"
"인천광역시  (2800000000)","3,033,844","3,033,844","16,129","15,056","16,151","16,968","17,528","18,926","20,616","21,397","23,968","26,343","26,766","26,220","28,325","28,534","28,905","26,489","27,069","29,172","27,140","25,642","25,989","28,366","28,074","31,037","35,833","36,927","37,319","39,924","40,860","42,738","43,807","44,919","46,482","46,577","42,239","41,297","40,605","39,019","39,511","41,186","40,708","45,268","49,534","52,802","51,729","51,800","45,694","46,391","44,148","46,263","49,115","52,180","52,819","53,615","54,069","52,424","54,810","49,522","48,469","49,972","50,989","45,575","53,527","50,085","54,142","49,666","44,766","41,992","37,757","35,371","35,301","26,426","26,951","21,956","19,056","20,859","19,696","19,535","18,713","12,982","13,165","12,862","14,518","12,887","9,905","9,251","8,593","7,050","6,143","5,316","4,248","3,281","2,640","1,972","1,482","1,137","914","576","413","236","525"
"광주광역시  (2900000000)","1,400,827","1,400,827","6,118","6,205","7,072","7,798","8,150","8,943","9,784","10,739","11,991","13,286","13,461","13,620","14,806","14,675","15,183","14,116","14,542","15,653","14,557","13,886","14,559","15,846","15,776","16,873","18,999","18,889","18,451","19,186","19,102","19,847","19,449","19,284","19,106","18,477","16,621","16,157","15,557","15,612","15,941","17,004","17,155","19,853","22,321","23,707","22,802","23,734","21,331","21,782","22,177","22,079","23,689","25,537","25,409","25,782","25,489","24,196","25,582","22,783","22,073","22,761","20,713","19,430","21,688","19,685","22,399","20,779","18,560","17,406","15,368","14,639","15,037","11,418","11,645","10,915","10,303","10,689","9,873","9,971","9,477","6,785","7,022","5,998","7,578","6,855","5,166","4,749","4,006","3,563","2,980","2,469","2,076","1,586","1,179","927","659","604","370","241","169","101","186"
"대전광역시  (3000000000)","1,439,393","1,439,393","7,308","7,139","7,799","7,737","7,918","8,365","9,326","10,044","11,374","12,497","12,726","12,723","13,618","13,734","13,953","13,065","13,497","14,646","14,096","14,048","14,707","16,395","16,516","18,068","20,284","20,413","20,294","21,113","21,438","21,871","21,576","21,048","21,483","20,611","19,084","18,223","17,657","17,400","17,172","17,837","17,480","19,238","21,386","22,816","22,672","22,434","20,894","21,448","20,756","22,140","22,939","25,534","25,037","25,561","25,784","24,879","26,657","23,155","22,136","21,479","22,376","18,814","22,731","22,271","24,691","22,472","19,599","19,097","17,842","17,150","17,442","12,847","12,902","11,506","10,014","10,583","10,179","9,303","8,812","6,235","6,735","6,588","7,394","6,835","4,876","4,784","4,298","3,603","3,103","2,599","2,205","1,674","1,237","961","699","561","392","277","168","95","215"
"울산광역시  (3100000000)","1,094,460","1,094,460","5,266","4,920","5,278","5,873","6,245","6,954","7,566","8,393","9,682","10,715","10,836","10,846","11,469","11,453","11,530","10,656","10,946","11,654","10,319","9,264","9,193","9,383","9,025","10,024","11,634","12,230","12,152","13,197","13,636","14,293","14,079","13,941","14,460","14,261","13,313","13,429","13,073","12,750","13,121","13,742","13,767","15,715","17,529","19,004","18,920","19,083","16,956","17,198","16,015","16,940","17,968","19,421","19,371","20,434","20,478","20,752","21,846","20,421","19,993","20,737","19,876","17,265","20,417","18,997","20,979","18,471","16,796","15,613","14,449","13,478","13,195","10,299","10,348","8,720","7,643","7,404","7,159","6,640","5,637","3,628","4,436","3,973","4,730","3,715","2,901","2,771","2,340","1,910","1,657","1,316","1,162","902","665","490","324","253","182","122","102","57","89"
"세종특별자치시  (3600000000)","391,992","391,992","2,875","2,713","3,164","3,571","3,729","4,012","4,506","4,928","5,255","5,841","5,723","5,576","5,923","5,763","5,774","5,293","5,236","5,250","4,537","3,950","3,740","3,610","3,301","3,269","3,494","3,591","3,624","3,733","3,998","4,545","4,842","5,197","5,711","5,931","5,837","5,942","6,046","6,091","6,405","6,520","6,728","7,405","8,259","8,879","8,495","8,512","7,558","7,360","6,894","7,046","6,986","7,089","6,547","6,563","6,194","5,549","5,546","4,791","4,460","4,193","4,549","3,737","4,393","4,244","4,620","4,112","3,695","3,465","3,204","3,124","3,112","2,281","2,250","1,933","1,697","1,821","1,651","1,468","1,400","959","1,076","1,024","1,199","1,065","834","834","716","616","550","485","473","344","258","184","150","101","103","65","40","21","39"
"경기도  (4100000000)","13,702,756","13,702,756","73,138","70,770","76,599","80,570","83,792","89,429","97,159","104,420","116,193","128,315","129,860","126,939","137,919","136,423","138,998","128,370","131,342","140,459","129,406","120,647","124,161","131,273","130,984","142,986","168,552","172,652","172,837","181,607","183,908","193,941","196,490","198,941","205,414","204,594","188,164","184,624","183,126","179,509","180,818","189,028","187,459","207,659","228,187","242,983","239,076","238,740","212,803","215,210","208,998","218,991","227,627","245,660","244,226","250,864","251,280","240,696","247,983","220,512","214,745","216,294","216,776","191,537","220,078","207,996","224,642","204,001","185,300","172,949","156,085","147,085","147,768","111,815","115,721","92,378","81,246","86,996","82,940","83,714","79,960","56,953","59,755","56,832","63,498","57,952","45,747","42,023","37,810","31,873","28,078","23,607","19,084","14,552","11,298","8,418","6,274","4,833","3,699","2,532","1,630","977","1,994"
